"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9780597878002";"17";17028;1;1;706,1;1;1
"id_9780597878000";"15";15360;1;1;688,7;1;1
"id_9786597878681";"19";19062;1;2;579,05;1;1
"id_9786597878686";"41";41032;1;6;601,3;1;1
"id_9786597878675";"16";16100;1;3;651,9;1;1
"id_9786597878619";"34";34079;1;1;647,5;1;1
"id_9786597878649";"29";29082;1;11;626,8;1;8
"id_9786597878622";"36";36052;1;2;656,9;1;1
"id_9786597878630";"29";29019;1;2;708;1;1
"id_9786597878636";"42";42122;1;3;628,7;1;1
"id_9786597878668";"32";32162;1;1;547,1;1;1
"id_9798597879883";"19";19030;1;1;617,2;1;1
"id_9798597879858";"32";32160;1;1;649,5;1;1
"id_9798597879853";"21";21032;1;1;564,6;1;1
"id_9798597879856";"41";41066;1;1;512,9;2;1
"id_9798597879878";"34";34018;1;5;614,85;1;1
"id_9798597879814";"50";50226;1;1;595,7;1;1
"id_9798597879848";"12";12039;1;1;749,6;1;1
"id_9798597879820";"27";27070;1;3;739;1;1
"id_9798597879831";"34";34101;1;5;578;1;1
"id_9799597879989";"17";17076;1;1;646;1;1
"id_9799597879985";"12";12014;1;1;726,3;1;1
"id_9799597879982";"41";41095;1;1;795,75;1;1
"id_9799597879980";"18";18068;1;1;548,1;1;1
"id_9799597879994";"44";44001;1;4;623,6;1;1
"id_9799597879979";"41";41130;1;1;470,8;1;1
"id_9799597879970";"22";22095;1;1;587,5;1;1
"id_9799597879921";"37";37018;1;1;643;1;1
"id_9799597879938";"36";36021;1;2;700,7;1;1
"id_9799597879933";"51";51101;1;3;596,1;1;1
"id_9799597879902";"11";11027;1;1;677,6;1;1
"id_9799597879964";"50";50929;1;3;666,85;1;1
"id_9799597879966";"41";41126;1;3;553,7;1;1
"id_9795597879595";"36";36030;1;1;618;1;1
"id_9795597879554";"19";19022;1;1;692,3;1;1
"id_9795597879577";"40";40030;1;5;599,6;1;1
"id_9795597879574";"37";37019;1;1;571,6;1;1
"id_9795597879518";"13";13025;1;5;591,65;1;1
"id_9795597879547";"32";32162;3;1;746,394;1;1
"id_9795597879524";"36";36001;1;1;662,85;1;1
"id_9795597879534";"55";55009;1;1;498,3;1;1
"id_9795597879502";"42";42002;1;3;703,8;1;1
"id_9795597879506";"18";18083;1;1;625;1;1
"id_9795597879561";"29";29067;1;1;689,3;1;1
"id_9795597879563";"16";16036;1;2;667,6;1;1
"id_9795597879560";"41";41004;1;8;562,05;1;1
"id_9797597879783";"19";19030;1;1;647,15;1;1
"id_9797597879795";"19";19031;1;1;547,9;1;1
"id_9797597879772";"14";14067;1;6;672,8;1;1
"id_9797597879712";"38";38004;1;3;659,65;1;1
"id_9797597879743";"37";37090;1;2;538,15;1;1
"id_9797597879720";"13";13049;1;1;705,85;1;1
"id_9797597879726";"24";24013;1;9;675,5;1;1
"id_9797597879730";"25";25065;1;1;495,4;1;1
"id_9797597879703";"29";29020;1;2;664;1;1
"id_9797597879700";"12";12022;1;1;677;1;1
"id_9797597879761";"15";15180;1;2;619;1;1
"id_9791597879181";"23";23069;1;1;731,7;1;1
"id_9791597879183";"44";44022;1;2;611;1;1
"id_9791597879196";"51";51130;1;1;547,9;1;1
"id_9791597879155";"47";47461;1;1;555,3;1;1
"id_9791597879178";"41";41197;1;1;551,1;1;1
"id_9791597879175";"16";16035;1;1;653,6;1;1
"id_9791597879173";"46";46305;1;3;615,4;1;1
"id_9791597879142";"14";14030;1;1;641,1;1;1
"id_9791597879126";"12";12049;1;1;649,65;1;1
"id_9791597879137";"18";18080;3;1;816,775;1;1
"id_9791597879130";"35";35068;1;2;641,3;1;1
"id_9791597879164";"16";16066;1;2;617,1;1;1
"id_9794597879497";"50";50929;1;3;647,6;1;1
"id_9794597879492";"18";18054;1;1;591,4;1;1
"id_9794597879412";"50";50115;1;3;517,3;1;1
"id_9794597879441";"55";55054;1;3;513,5;1;1
"id_9794597879440";"19";19091;1;1;688,8;1;1
"id_9794597879446";"36";36029;1;3;542,8;1;1
"id_9794597879425";"18";18084;1;1;591,8;1;1
"id_9794597879427";"13";13092;1;1;653,15;1;1
"id_9794597879422";"41";41020;1;1;489,5;1;1
"id_9794597879420";"55";55033;1;1;582,35;1;1
"id_9794597879435";"39";39119;1;9;624,2;1;1
"id_9794597879408";"12";12007;1;1;697,24;1;1
"id_9794597879406";"16";16057;1;1;724,4;1;1
"id_9794597879467";"30";30002;1;2;605,55;1;1
"id_9794597879464";"30";30077;1;1;704;1;1
"id_9792597879281";"27";27080;1;2;638,3;1;1
"id_9792597879280";"35";35007;1;1;577,4;1;1
"id_9792597879295";"27";27080;1;1;596,8;1;1
"id_9792597879292";"19";19047;1;1;684,9;1;1
"id_9792597879279";"19";19030;1;2;652,8;1;1
"id_9792597879276";"37";37011;1;1;622,7;1;1
"id_9792597879217";"21";21047;1;1;518,75;1;1
"id_9792597879210";"55";55080;1;11;526,4;1;2
"id_9792597879243";"29";29019;1;2;674,5;1;1
"id_9792597879237";"26";26082;1;2;464,2;1;1
"id_9792597879209";"11";11042;2;1;670,1;1;4
"id_9792597879201";"40";40061;1;3;611,6;1;1
"id_9792597879200";"22";22067;1;2;563,6;1;1
"id_9792597879266";"18";18040;1;1;579,1;1;1
"id_9793597879388";"34";34019;1;1;551,6;1;1
"id_9793597879387";"47";47301;1;4;585,5;1;1
"id_9793597879380";"13";13019;1;1;581,15;1;1
